492
SRUS46 KSGX 302015
RRMSGX

PRECIPITATION SUMMARY....PRELIMINARY
NATIONAL WEATHER SERVICE SAN DIEGO
1145 AM PST THURSDAY DEC 30 2021

   24 HOUR PRECIPITATION TOTALS AS OF 1145 AM THURSDAY

.TOP RAINFALL AMOUNTS FROM ALL ZONES...

        STATION                 PRECIP(IN)   ELEVATION(FT)

     1. LYTLE CREEK RAWS          4.99         2790
     2. MIDDLE FK LYTLE CREE      4.50         3740
     3. CRESTLINE                 3.25         5100
     4. DEER CREEK DAM            2.83         2917
     5. PANORAMA POINT            2.60         3887
     6. MT BALDY                  2.36         4300
     7. MORMON ROCK RAWS          2.35         3300
     8. GLEN HELEN REG PARK       2.28         2000
     9. SAN ANTONIO HEIGHTS       2.20         2335
    10. MT BALDY VILLAGE          2.18         4230

-------------------------------------------------------------


.SNOWFALL REPORTS...
       
LOCATION                SNOW(IN)     ELEV (FT)   DATE/TIME

END OF MT. BALDY         14           6300      12/30 700 AM
MOUNTAIN HIGH            12-18        8200      12/30 700 AM
SNOW VALLEY              10-12        7500      12/30 700 AM
WRIGHTWOOD               10           5900      12/30 700 AM
GREEN VLY LAKE           7            6873      12/30 700 AM
ARROWBEAR LAKE           6            6190      12/30 700 AM
RUNNING SPRINGS          6            6225      12/29 800 PM
LAKE ARROWHEAD           6            5174      12/30 1215 AM
CRESTLINE YARD           3            4850      12/30 700 AM
BIG BEAR YARD            1            6815      12/30 700 AM
ANGELUS OAKS             1            5780      12/30 700 AM
BARTON FLATS             1            6867      12/30 700 AM
SNOW SUMMIT              1-2          7000      12/30 700 AM     

-------------------------------------------------------------

.SAN DIEGO COUNTY COASTAL AREAS...        

ID      STATION                PRECIP(IN)    ELEVATION(FT)

SOFC1   SAN ONOFRE                0.38          162
L13     POINT LOMA                0.26          364
FBZC1   CPEN FALLBROOK RAWS       0.25          876
SDLJS   LA JOLLA                  0.23          275
ENCC1   ENCINITAS                 0.19          242
NZY     NORTH ISLAND NAS          0.19           23
NAC1    NATIONAL CITY             0.18           82
SDOCH   DEL MAR                   0.17          295
SAN     SAN DIEGO INTL AIRPORT    0.16           42
OCNC1   OCEANSIDE                 0.14           30
ECMC1   EL CAMINO DEL NORTE       0.14           50
PLMC1   CARLSBAD                  0.13          305
KEAC1   KEARNY MESA               0.13          455
FSNC1   FASHION VALLEY            0.13           20
CRQ     CARLSBAD AIRPORT          0.11          357
CVA1    CHULA VISTA               0.10           68
MYF     MONTGOMERY FIELD          0.10          423
SDSWD   SAN DIEGO SEA WORLD       0.08           15
SDSDU   SD UNIVERSITY HEIGHTS     0.08          345
NKX     MIRAMAR                   0.08          477
NMLC1   SAN MARCOS LANDFILL       0.07          766
LSFC1   LAS FLORES RAWS           0.07          100
SDM     BROWN FIELD               0.05          524
TJEC1   TIJUANA ESTUARY           0.04           20
UGGC1   SMUGGLERS GULCH           0.04           74

.SAN DIEGO COUNTY VALLEYS...        

ID      STATION                PRECIP(IN)    ELEVATION(FT)

CTGC1   CAMP TRGT RANGE RAWS      0.46          917
RAIC1   RAINBOW CAMP              0.33         1553
ESOC1   ESCONDIDO                 0.26          640
FLBC1   FALLBROOK                 0.25          675
DRGC1   DEER SPRINGS              0.17         1000
RNBC1   RANCHO BERNARDO           0.15          690
VALC1   VALLEY CENTER             0.14         1295
OFLC1   LOWER OAT FLATS           0.13         2239
MMRC1   MIRAMAR LAKE              0.13          720
SKLC1   SKYLINE RANCH             0.13          562
WHLC1   LAKE WOHLFORD             0.13         1490
RMAC1   MT. WOODSON               0.13         1720
SDSGX   RANCHO BERNARDO           0.11          690
PWYC1   POWAY                     0.10          440
VLCC1   VALLEY CENTER RAWS        0.10         1370
MUYC1   LAKE MURRAY               0.08          530
BOSC1   BONSALL CRS               0.07          185
OUSC1   COUSER CANYON             0.06          285
OTYC1   OTAY MOUNTAIN RAWS        0.06         3283
SDEFF   ELFIN FOREST              0.05          625
SDLMG   LEMON GROVE               0.05          427
RMNC1   RAMONA                    0.05         1420
LMSC1   LA MESA                   0.04          530
MIGC1   SAN MIGUEL RAWS           0.04          425
SDSNN   SANTEE NORTH              0.03          505
RINC1   RINCON SPRINGS            0.03          970
RNM     RAMONA AIRPORT            0.03         1400
DULC1   DULZURA SUMMIT            0.03         1512
GOSC1   GOOSE VALLEY RAWS         0.03         1530
BNAC1   BARONA                    0.02         1280
OLEC1   COLE GRADE RD             0.02          750
ANEC1   ALPINE RAWS               0.02         2041
SDALP   ALPINE                    0.01         1700
SDELJ   EL CAJON                  0.01          493
FLYC1   FLINN SPRINGS             0.01          880
LCKC1   LOS COCHES CREEK          0.01          560

.SAN DIEGO COUNTY MOUNTAINS...  

ID      STATION                PRECIP(IN)    ELEVATION(FT)

PRMC1   PALOMAR OBSERVATORY       1.42         5560
PMMC1   PALOMAR CRS               1.36         5387
PAMC1   PALOMAR MOUNTAIN RAWS     0.92         5530
IRCC1   BIRCH HILL                0.89         5645
VCNC1   VOLCAN MOUNTAIN           0.68         5410
MEGC1   MESA GRANDE               0.37         3204
LGMC1   MT LAGUNA                 0.36         6000
SDCYC   LAKE CUYAMACA MESONET     0.25         4635
HAWC1   HENSHAW DAM               0.25         2750
MLGC1   MOUNT LAGUNA RAWS         0.23         5760
ETKC1   LA JOLLA ERN TANKS        0.16         3000
SYSC1   SANTA YSABEL              0.14         2990
CMFC1   CAMPO 1N                  0.13         2610
TRRC1   TIERRA DEL SOL            0.13         4000
JLNC1   JULIAN                    0.12         4230
PHIC1   PINE HILLS FS             0.10         3645
JULC1   JULIAN RAWS               0.09         4240
PIHC1   PINE HILLS RAWS           0.09         3600
CMNC1   CAMERON RAWS              0.08         3443
WSGC1   WARNER SPRINGS            0.07         3040
RCHC1   RANCHITA RAWS             0.06         4180
CYDC1   LAKE CUYAMACA             0.05         4560
DSCC1   DESCANSO RS               0.05         3650
DENC1   DESCANSO RAWS             0.04         3480
OGVC1   OAK GROVE RAWS            0.04         2770
SDPLC   PUERTA LA CRUZ            0.03         2970
SDTSR   DESCANSO                  0.03         3329
RTAC1   RANCHITA                  0.03         4008
SDPSW   PALOMAR MTN. PALA         0.02         3080
ECDC1   ECHO DELL                 0.01         3060
PNVC1   PINE VALLEY               0.01         3730

.SAN DIEGO COUNTY DESERTS...    

ID      STATION                PRECIP(IN)    ELEVATION(FT)

BGOC1   BORREGO SPRINGS           0.02          500

.ORANGE COUNTY COASTAL AREAS...        

ID      STATION                PRECIP(IN)    ELEVATION(FT)

